id	file	offset	budget	same_as	jp	kr
SYS00006	SSCR.BIN	0x1AE1	14		%sに 当たった!	%s에 맞았다!
SYS00007	SSCR.BIN	0x1B62	13		%sは 外れた。	%s는 빗나갔다.
SYS00008	SSCR.BIN	0x1D8B	29		どこかに 消えてしまった……。	어딘가로 사라져 버렸다……。
SYS00009	SSCR.BIN	0x283F	16		%sを 跳ね返した!	%s를 튕겨냈다!
SYS00010	SSCR.BIN	0x47DD	22		炎の息が %sを こがす！	불꽃 숨결이 %s를 그슬린다!
SYS00011	SSCR.BIN	0x49CD	14		%sに当たった！	%s에 맞았다!
SYS00012	SSCR.BIN	0x4C8A	202		ンドゥバ ついに 自分の店 もちました。\nクラブ「ンドゥバ」\nもう じゅけんべんきょう してません。\nあるイミ いけてます。\nでも ほんとうに これでいいの？\n成人式むかえたけど\nいったい きみは男？女？ どっちなの？	은두바 마침내 자기 가게 가졌습니다.\n클럽「은두바」\n이제 입시공부 안 해요.\n어떤 의미론 잘나갑니다.\n근데 정말로 이래도 되는 걸까?\n성인식 치렀지만\n대체 너는 남자? 여자? 어느 쪽이야?
SYS00013	SSCR.BIN	0x4DB1	15		HP %dポイント\x01\x02	HP %d포인트\x01\x02
SYS00014	SSCR.BIN	0x4E29	14		%sのようだけど	%s인 것 같은데
SYS00015	SSCR.BIN	0x4E8C	8		説明なし	설명 없음
SYS00016	SSCR.BIN	0x6136	26		%sの防御力が%dに下がった！	%s의 방어력이 %d로 떨어졌다!
SYS00017	SSCR.BIN	0x65CD	22		%sは こわれてしまった!	%s는 부서지고 말았다!
SYS00018	SSCR.BIN	0x6615	17		ここは ほれない。	이곳은 팔 수 없다.
SYS00019	SSCR.BIN	0x66C2	21		%sは こわせなかった。	%s는 부수지 못했다.
SYS00020	SSCR.BIN	0x6709	21		%sを たたきつぶした。	%s를 두들겨 부쉈다.
SYS00021	SSCR.BIN	0x677B	22	SYS00017	%sは こわれてしまった!	%s는 부서지고 말았다!
SYS00022	SSCR.BIN	0x76C9	23		%sは 攻撃を 跳ね返した!	%s는 공격을 튕겨냈다!
SYS00023	SSCR.BIN	0x7839	22		腕輪の力で飛ばされた！	팔찌의 힘으로 날아가 버렸다!
SYS00024	SSCR.BIN	0x7FAD	24		%sの攻撃を うけながした!	%s의 공격을 흘려보냈다!
SYS00025	SSCR.BIN	0x80E9	22		%sの攻撃を 受け返した!	%s의 공격을 되받아쳤다!
SYS00026	SSCR.BIN	0x82D6	20		壺から 手が抜けない!	항아리에서 손이 빠지지 않는다!
SYS00027	SSCR.BIN	0x92FE	6		はたち	스무 살
SYS00028	SSCR.BIN	0x9314	6		みそじ	서른 살
SYS00029	SSCR.BIN	0x932A	8		かんれき	환갑
SYS00030	SSCR.BIN	0x9342	4		こき	고희
SYS00031	SSCR.BIN	0x9356	6		きじゅ	희수
SYS00032	SSCR.BIN	0x936C	8		べいじゅ	미수
SYS00033	SSCR.BIN	0x9384	8		そつじゅ	졸수
SYS00034	SSCR.BIN	0x939C	8		はくじゅ	백수
SYS00035	SSCR.BIN	0x93F3	6		にせ%s	가짜 %s
SYS00036	SSCR.BIN	0xA58E	19		しかし %sのおかげで	하지만 %s 덕분에
SYS00037	SSCR.BIN	0xA5B2	24		存在を 封印されなかった!	존재가 봉인되지 않았다!
SYS00038	SSCR.BIN	0xA5D0	20		元気が もどってきた!	기운이 되돌아왔다!
SYS00039	SSCR.BIN	0xAA08	20		強い風が吹いてきた。	강한 바람이 불어왔다.
SYS00040	SSCR.BIN	0xAA1D	32		かなり強い風だ！ 飛ばされそうだ!	상당히 강한 바람이다! 날아갈 것 같다!
SYS00041	SSCR.BIN	0xAA3E	19		だめだ! 飛ばされる!	안 돼! 날아간다!
SYS00042	SSCR.BIN	0xAD27	22		お腹が減ってきた……。	배가 고파졌다……。
SYS00043	SSCR.BIN	0xAD3E	33		ハラペコで 目がまわってきた……。	배가 고파서 눈앞이 핑핑 돈다……。
SYS00044	SSCR.BIN	0xAD60	25		だめだ！ もう倒れそうだ！	안 돼! 이제 쓰러질 것 같다!
SYS00045	SSCR.BIN	0xAD7A	29		早く……何か 食べないと……。	어서……뭔가 먹지 않으면……。
SYS00046	SSCR.BIN	0xAD98	20		飢え死にしてしまう！	굶어 죽고 만다!
SYS00047	SSCR.BIN	0xB176	10		%sの秘技書	%s의 비기서
SYS00048	SSCR.BIN	0xB1B4	16		【%sのひぎしょ】	【%s의 비기서】
SYS00049	SSCR.BIN	0xB23D	4		攻撃	공격
SYS00050	SSCR.BIN	0xB249	4		守備	수비
