id	file	offset	budget	same_as	jp	kr
SYS02373	SSCR.BIN	0x68B93	140		武器か盾に異種合成すれば、印のおさまる\n穴の数をひとつ増やすことができる。\n穴の数は最大１６個まで。\n腕輪に異種合成すれば壊れない腕輪になる。\n	무기나 방패에 이종 합성하면, 문양이 들어갈\n구멍 수를 하나 늘릴 수 있다.\n구멍 수는 최대 16개까지.\n팔찌에 이종 합성하면 부서지지 않는 팔찌가 된다.\n
SYS02374	SSCR.BIN	0x68C21	118		バラ科の落葉高木。\n水分と甘味に富んだおいしい果物。\nだったらよかったんだけど、実際は登場する\nはずのないバグアイテム。\n	장미과의 낙엽 교목.\n수분과 단맛이 풍부한 맛있는 과일.\n이었으면 좋았겠지만, 실제로는 등장할\n리 없는 버그 아이템.\n
SYS02375	SSCR.BIN	0x68C99	90		固い木を削りだして、\n握りやすくした武器。\n木製なのでサビることはないが、\n腐ることはある。\n	단단한 나무를 깎아내어,\n쥐기 편하게 만든 무기.\n목제라서 녹슬 일은 없지만,\n썩는 일은 있다.\n
SYS02376	SSCR.BIN	0x68CF5	167		お寿司のノリ巻きでも、巻物でもなく、\nナギナタの柄を短くしたような感じの、\nレッキとした武器である。\nこれといって特徴はないが、\n強い武器が見つかるまでのツナギにはなる。\n	초밥의 김밥도, 두루마리도 아닌,\n나기나타의 자루를 짧게 만든 듯한 느낌의,\n엄연한 무기이다.\n이렇다 할 특징은 없지만,\n강한 무기를 찾을 때까지의 임시방편은 된다.\n
SYS02377	SSCR.BIN	0x68D9E	36		多くの風来人に\n愛用されている武器。\n	많은 풍래인들에게\n애용되고 있는 무기.\n
SYS02378	SSCR.BIN	0x68DC4	54		ドラゴンタイプのモンスターに、\nよりダメージを与える。\n	드래곤 타입 몬스터에게,\n더 큰 데미지를 준다.\n
SYS02379	SSCR.BIN	0x68DFC	98		またの名を正国。\n「どうたぬきゲンマ」という名の\n刀工が作った。\nカタナより刃が厚く、パワーがある。\n	다른 이름은 정국(正国).\n「도우타누키 겐마」라는 이름의\n도공이 만들었다.\n카타나보다 칼날이 두껍고, 힘이 있다.\n
SYS02380	SSCR.BIN	0x68E60	112		いにしえの刀工師カブラがきたえた剛剣。\n風来人たちの中では、\n最高の刀との評判である。\n絶対に手放したくない逸品。\n	아득한 옛날 도공 카부라가 벼린 강검.\n풍래인들 사이에서는,\n최고의 검이라는 평판이다.\n절대로 손에서 놓고 싶지 않은 일품.\n
SYS02381	SSCR.BIN	0x68ED2	72		パコレプキンなど、ゴーストタイプの\nモンスターに、よりダメージを与える。\n	파코레프킨 등, 고스트 타입\n몬스터에게, 더 큰 데미지를 준다.\n
SYS02382	SSCR.BIN	0x68F1C	69		壁が掘れる。\nしかし、掘ってるうちに\n壊れてしまうので、注意が必要だ。\n	벽을 팔 수 있다.\n하지만, 파는 도중에\n부서져 버리므로, 주의가 필요하다.\n
SYS02383	SSCR.BIN	0x68F63	56		なんと!\nこのつるはしは、壊れない。\nもちろん壁は掘れる。\n	놀랍게도!\n이 곡괭이는, 부서지지 않는다.\n물론 벽은 팔 수 있다.\n
SYS02384	SSCR.BIN	0x68F9D	54		攻撃力は弱いが、この剣で攻撃すると\n絶対にミスがない。\n	공격력은 약하지만, 이 검으로 공격하면\n절대로 빗나가는 일이 없다.\n
SYS02385	SSCR.BIN	0x68FD5	96		この武器は、両手で持つため\n盾は持てなくなる。\nしかし、力をこめやすく、\nたまに会心の一撃が出る。\n	이 무기는, 양손으로 들기 때문에\n방패는 들 수 없게 된다.\n하지만, 힘을 싣기 쉬워서,\n가끔 회심의 일격이 나온다.\n
SYS02386	SSCR.BIN	0x69037	82		前方3方向を1度で\n攻撃できる、便利な刀。\nモンスターハウスの入り口などで\n使いたい。\n	전방 3방향을 한 번에\n공격할 수 있는, 편리한 검.\n몬스터 하우스 입구 등에서\n사용하고 싶다.\n
SYS02387	SSCR.BIN	0x6908B	58		ゲイズなどの一ツ目のモンスターに、\nよりダメージを与える。\n	게이즈 등, 외눈박이 몬스터에게,\n더 큰 데미지를 준다.\n
SYS02388	SSCR.BIN	0x690C7	77		くねくねハニーなどの、\n能力を下げてくるモンスターに、\nよりダメージを与える。\n	꾸물꾸물 허니 등,\n능력을 떨어뜨리는 몬스터에게,\n더 큰 데미지를 준다.\n
SYS02389	SSCR.BIN	0x69116	42		風来人であれば\n誰もが憧れる、伝説の剛刀。\n	풍래인이라면\n누구나 동경하는, 전설의 강도.\n
SYS02390	SSCR.BIN	0x69142	184		剛剣マンジカブラの最終形。\nいにしえの刀工師カブラをもってしても、\nめったに完成させることが\nできなかったといわれる、幻の剣。\nこの剣の存在を知る風来人は少ない。\n秘してこその剣であろう。\n	강검 만지카부라의 최종형.\n아득한 옛날의 도공 카부라조차도,\n좀처럼 완성시킬 수\n없었다고 전해지는, 환상의 검.\n이 검의 존재를 아는 풍래인은 적다.\n숨겨져야만 가치가 있는 검이리라.\n
