id	file	offset	budget	same_as	jp	kr
SYS04458	SSCR.BIN	0xB78D1	35	SCR01448	　\n　　　　　ヘイジが仲間になった。	\n　　　　　헤이지가 동료가 되었다.
SYS04459	SSCR.BIN	0xB7901	18	SCR01456	ヘイジ「そんな～。	헤이지「그런~。
SYS04460	SSCR.BIN	0xB7929	104		バリバリ「ワガハイはエレキ箱芸術家だ。\n　そこな娘御。ワガハイに出来る事あれば\n　格安で引き受けてやるぞ。	바리바리「이 몸은 에레키 상자 예술가다.\n　거기 아가씨. 이 몸이 할 수 있는 일이 있다면\n　저렴하게 맡아주지.
SYS04461	SSCR.BIN	0xB7995	57		　……商売なぞ本意ではないが\n　これも芸術の糧のため……。	……장사 따위는 본의가 아니다만\n　이 또한 예술의 양식을 위해서……。
SYS04462	SSCR.BIN	0xB79DD	74		バリバリ「なにか買ってゆくが良い。\n　それともエレキ箱の修理・改造が必要か?	바리바리「뭔가 사가도록 하라.\n　아니면 에레키 상자 수리·개조가 필요한가?
SYS04463	SSCR.BIN	0xB7A8E	20		バリバリ「さらばだ。	바리바리「잘 가거라.
SYS04464	SSCR.BIN	0xB7B7D	43		バリバリ「なんだ、\n　金が足りぬではないか。	바리바리「뭐냐,\n　돈이 부족하지 않느냐.
SYS04465	SSCR.BIN	0xB7BB4	20		どれも至高の芸術品だ	어느 것이든 최고의 예술품이다
SYS04466	SSCR.BIN	0xB7BC9	22		どれでも修理してやろう	어느 것이든 수리해주지
SYS04467	SSCR.BIN	0xB7BE0	17		どれから外すのだ?	어느 것부터 뗄 것이냐?
SYS04468	SSCR.BIN	0xB7C40	19		エレキ箱 %d個だな。	에레키 상자 %d개로군.
SYS04469	SSCR.BIN	0xB7C5E	8		%sだな。	%s로군.
SYS04470	SSCR.BIN	0xB7C70	14		しょうがない、	어쩔 수 없군,
SYS04471	SSCR.BIN	0xB7C84	24		%dギタンで売ってやろう。	%d기탄에 팔아주지.
SYS04472	SSCR.BIN	0xB7CAF	18		バリバリ「なんだ、	바리바리「뭐냐,
SYS04473	SSCR.BIN	0xB7CC4	26		　持ち物が一杯ではないか。	짐이 가득 차지 않았느냐.
SYS04474	SSCR.BIN	0xB7CEB	38		　それでは外したパーツを受け取れぬぞ。	그래서는 뗀 파츠를 받을 수 없다.
SYS04475	SSCR.BIN	0xB7D34	16		バリバリ「ほれ、	바리바리「자,
SYS04476	SSCR.BIN	0xB7D47	24		　ありがたく思うがよい。	고맙게 여기도록 하라.
SYS04477	SSCR.BIN	0xB7D8C	34		バリバリ「なんだ、壊れたエレキ箱を	바리바리「뭐냐, 부서진 에레키 상자를
SYS04478	SSCR.BIN	0xB7DB1	26		　持っておらぬではないか。	가지고 있지 않지 않느냐.
SYS04479	SSCR.BIN	0xB7DD1	32		バリバリ「なんだ、パーツをつけた	바리바리「뭐냐, 파츠를 붙인
SYS04480	SSCR.BIN	0xB7DF4	36		　エレキ箱を持っておらぬではないか。	에레키 상자를 가지고 있지 않지 않느냐.
SYS04481	SSCR.BIN	0xB7E31	8	SYS04469	%sだな。	%s로군.
SYS04482	SSCR.BIN	0xB7E43	22		%dギタンで修理するか？	%d기탄에 수리할 텐가?
SYS04483	SSCR.BIN	0xB7E76	6	SCR00725	%sから	%s에서
SYS04484	SSCR.BIN	0xB7E98	13		を外すのだな?	를 뗄 것이냐?
SYS04485	SSCR.BIN	0xB7EBD	31		バリバリ「よし、\n　しばし待て。	바리바리「좋다,\n　잠시 기다려라.
SYS04486	SSCR.BIN	0xB8016	20		バリバリ「できたぞ。	바리바리「다 됐다.
SYS04487	SSCR.BIN	0xB802D	18		　受けとるがよい。	받도록 하라.
SYS04488	SSCR.BIN	0xB8B02	81	SYS04342	風来人「お、こんなキレイな娘っ子が\n　風来人か!\n　よきかな、よきかな。がはははは!!	방랑자「오, 이런 예쁜 아가씨가\n　방랑자라니!\n　좋구나, 좋아. 가하하하하!!
SYS04489	SSCR.BIN	0xB8B61	74	SYS04343	風来人「ダンジョンの\n　深いところでは、\n　たまに店が出ていることがあるぞ。	방랑자「던전\n　깊은 곳에서는\n　가끔 가게가 나와 있을 때가 있지.
SYS04490	SSCR.BIN	0xB8BB9	75	SYS04344	風来人「屈強の男をも退けるという\n　天輪の樹海。\n　この俺が突破してみせるぜ!	방랑자「건장한 사내마저 물리친다는\n　천륜의 수해.\n　이 몸이 돌파해 보이지!
SYS04491	SSCR.BIN	0xB8C08	36	SYS04345	　で、天輪の樹海って\n　どっちだっけ?	근데, 천륜의 수해가\n　어느 쪽이었더라?
SYS04492	SSCR.BIN	0xB8C3A	62	SYS04346	風来人「合成の壺はな、\n　入れる順番を\n　間違えるんじゃねえぞ。	방랑자「합성 항아리 말이야,\n　넣는 순서를\n　틀리면 안 된다고.
SYS04493	SSCR.BIN	0xB8C7C	49	SYS04347	　最初に入れる武器で\n　基本の強さが決まるからな。	처음에 넣는 무기로\n　기본 강함이 정해지니까 말이야.
SYS04494	SSCR.BIN	0xB8CBB	64	SYS04348	風来人「あれ?\n　あ、あれ～??\n　おっかしいなぁ……道に迷ったかな?	방랑자「어라?\n　어, 어라~??\n　이상하네…… 길을 잃었나?
SYS04495	SSCR.BIN	0xB8CFE	98	SYS04349	　このまえ来たときと、\n　ぜんぜん道が違うんだもん。これだから\n　不思議のダンジョンってやつは……。	저번에 왔을 때랑\n　길이 완전히 다르잖아. 이래서\n　불가사의 던전이란 게……。
SYS04496	SSCR.BIN	0xB8D6E	36	SYS04350	風来人「おれは変化の壺が好きだ……。	방랑자「나는 변화 항아리가 좋더라……。
SYS04497	SSCR.BIN	0xB8D95	91	SYS04351	　こう、アイテムを入れるだろ?\n　するとだな、そのアイテムが\n　他のアイテムに変化するんだよ。	이렇게 아이템을 넣잖아?\n　그러면 말이지, 그 아이템이\n　다른 아이템으로 변하는 거야.
SYS04498	SSCR.BIN	0xB8DF3	96	SYS04352	　ただし、何になるかはわからない。\n　良いアイテムかもしれない。\n　でも悪いアイテムかもしれない。	단, 뭐가 될지는 몰라.\n　좋은 아이템일지도 모르고.\n　근데 나쁜 아이템일 수도 있어.
SYS04499	SSCR.BIN	0xB8E56	95	SYS04353	　どんなアイテムになっているかなぁと\n　壺の中をのぞく、あの、一瞬が!\n　たまらなく好きなんだぁ!!	어떤 아이템이 됐을까 하고\n　항아리 속을 들여다보는, 그, 순간이!\n　너무너무 좋다고!!
SYS04500	SSCR.BIN	0xB8EC3	52	SYS04354	風来人「おにぎりの腐っちゃう\n　トラップってあるだろ?	방랑자「주먹밥이 썩어버리는\n　함정 있잖아?
SYS04501	SSCR.BIN	0xB8EFA	84	SYS04355	　でも、おにぎりを壺に入れとけば\n　安全なんだぜ。\n　そなえあれば憂いなしってわけよ。	근데, 주먹밥을 항아리에 넣어두면\n　안전하다고.\n　유비무환이란 말이지.
SYS04502	SSCR.BIN	0xB8F5C	100	SYS04356	風来人「装備はずしのトラップってな、\n　呪われた装備を身に付けちゃったときでも\n　外してくれるんだよ。	방랑자「장비 해제 함정 말이야,\n　저주받은 장비를 착용해버렸을 때도\n　벗겨주거든.
